//TABELA COM CÓDIGO IBGE ATUALIZADO DE ACORDO COM TABELA SPEED FISCAL...
UF|MUNICIPIO               |CEP     |IBGE
BA|Taboquinhas             |45534000|0000000
BA|Taguá                   |47930000|0000000
BA|Tamburil                |44862000|0000000
BA|Tanhaçu                 |46600000|2931004
BA|Tanque Novo             |46580000|2931053
BA|Tanquinho               |44160000|2931103
BA|Tanquinho do Poço       |48994000|0000000
BA|Taperoá                 |45430000|2931202
BA|Tapiraípe               |46804000|0000000
BA|Tapirama                |45543000|0000000
BA|Tapiramutá              |44840000|2931301
BA|Tapiranga               |44723000|0000000
BA|Tapúia                  |45449000|0000000
BA|Taquarendi              |44748000|0000000
BA|Taquarinha              |45935000|0000000
BA|Tartaruga               |45318000|0000000
BA|Tauapé                  |46335000|0000000
BA|Teixeira de Freitas     |00000000|2931350
BA|Teodoro Sampaio         |44280000|2931400
BA|Teofilândia             |48770000|2931509
BA|Teolândia               |45465000|2931608
BA|Terra Nova              |44270000|2931707
BA|Tijuaçú                 |48980000|0000000
BA|Tiquaruçu               |44140000|0000000
BA|Trancoso                |45818000|0000000
BA|Tremedal                |45170000|2931806
BA|Triunfo do Sincorá      |46660000|0000000
BA|Tucano                  |48790000|2931905
BA|Uauá                    |48950000|2932002
BA|Ubaíra                  |45310000|2932101
BA|Ubaitaba                |45545000|2932200
BA|Ubatã                   |45550000|2932309
BA|Ubiracaba               |46105000|0000000
BA|Ubiraitá                |46833000|0000000
BA|Uibaí                   |44950000|2932408
BA|Umburanas               |44798000|2932457
BA|Umbuzeiro               |48474000|0000000
BA|Una                     |45690000|2932507
BA|Urandi                  |46350000|2932606
BA|Uruçuca                 |45680000|2932705
BA|Utinga                  |46810000|2932804
BA|Vale Verde              |45817000|0000000
BA|Valença                 |45400000|2932903
BA|Valente                 |48890000|2933000
BA|Várzea da Roça          |44635000|2933059
BA|Várzea do Caldas        |46910000|0000000
BA|Várzea do Cerco         |44888000|0000000
BA|Várzea do Poço          |44715000|2933109
BA|Várzea Nova             |44690000|2933158
BA|Várzeas                 |47840000|0000000
BA|Varzedo                 |44565000|2933174
BA|Velha Boipeba           |45426000|0000000
BA|Ventura                 |44875000|0000000
BA|Vera Cruz               |44470000|2933208
BA|Vereda                  |45955000|2933257
BA|Vila do Café          |45153000|0000000
BA|Vitória da Conquista  |00000000|2933307
BA|Volta Grande          |44845000|0000000
BA|Wagner                |46970000|2933406
BA|Wanderley             |47940000|2933455
BA|Wenceslau Guimarães   |45460000|2933505
BA|Xique-Xique           |00000000|2933604
BA|XiqueXique            |47400000|2933604
CE|Abaiara               |63240000|2300101
CE|Abílio Martins        |62252000|0000000
CE|Acarapé               |62785000|2300150
CE|Acaraú                |62580000|2300200
CE|Acopiara              |63560000|2300309
CE|Adrianópolis          |62435000|0000000
CE|Água Verde            |61895000|0000000
CE|Aguaí                 |62602000|0000000
CE|Aiuá                  |62143000|0000000
CE|Aiuaba                |63575000|2300408
CE|Alagoinha             |63174000|0000000
CE|Alagoinha             |62686000|0000000
CE|Alcântaras            |62120000|2300507
CE|Algodões              |63655000|0000000
CE|Almofala              |62592000|0000000
CE|Altaneira             |63195000|2300606
CE|Alto Santo            |62970000|2300705
CE|Amanaiara             |62263000|0000000
CE|Amanari               |61965000|0000000
CE|Amaniutuba            |63306000|0000000
CE|Amarelas              |62405000|0000000
CE|Amaro                 |63144000|0000000
CE|América               |62240000|0000000
CE|Amontada              |62540000|2300754
CE|Anauá                 |63217000|0000000
CE|Aningás               |62882000|0000000
CE|Anjinhos              |63193000|0000000
CE|Antonina do Norte     |63570000|2300804
CE|Antônio Bezerra       |00000000|0000000
CE|Antônio Diogo         |62791000|0000000
CE|Antônio Marques       |61990000|0000000
CE|Aprazível             |62114000|0000000
CE|Apuiarés              |62630000|2300903
CE|Aquinópolis           |63479000|0000000
CE|Aquiraz               |61700000|2301000
CE|Araçás                |62682000|0000000
CE|Aracati               |62800000|2301109
CE|Aracatiaçu            |62111000|0000000
CE|Aracatiara            |62548000|0000000
CE|Aracoiaba             |62750000|2301208
CE|Arajara               |63183000|0000000
CE|Aranaú                |62585000|0000000
CE|Arapá                 |62328000|0000000
CE|Arapari               |62508000|0000000
CE|Araporanga            |63194000|0000000
CE|Araquém               |62165000|0000000
CE|Ararendá              |62210000|2301257
CE|Araripe               |63170000|2301307
CE|Arariús               |62186000|0000000
CE|Aratama               |63143000|0000000
CE|Araticum              |62352000|0000000
CE|Aratuba                |62762000|2301406
CE|Areial                 |62290000|0000000
CE|Ariscos dos Marianos   |62759000|0000000
CE|Arneiroz               |63670000|2301505
CE|Aroeiras               |62163000|0000000
CE|Arrojado               |63305000|0000000
CE|Aruaru                 |62951000|0000000
CE|Assaré                 |63140000|2301604
CE|Assunção               |62505000|0000000
CE|Assunção               |63625000|0000000
CE|Aurora                 |63360000|2301703
CE|Baixa Grande           |62605000|0000000
CE|Baixio                 |63320000|2301802
CE|Baixio da Donana       |63582000|0000000
CE|Banabuiú               |63960000|2301851
CE|Bandeira               |62723000|0000000
CE|Barão de Aquiraz       |63153000|0000000
CE|Barbalha               |63180000|2301901
CE|Barra                  |63506000|0000000
CE|Barra                  |62816000|0000000
CE|Barra                  |63578000|0000000
CE|Barra do Sotero        |62393000|0000000
CE|Barra Nova             |63667000|0000000
CE|Barreira               |62795000|2301950
CE|Barreira dos Vianas    |62802000|0000000
CE|Barreiras              |63508000|0000000
CE|Barreiros              |63163000|0000000
CE|Barreiros              |62374000|0000000
CE|Barreiros              |63785000|0000000
CE|Barrento               |62515000|0000000
CE|Barro                  |63380000|2302008
CE|Barro Alto             |63509000|0000000
CE|Barroquinha            |62410000|2302057
CE|Baturité               |62760000|2302107
CE|Baú                    |63512000|0000000
CE|Beberibe               |62840000|2302206
CE|Bela Cruz              |62570000|2302305
CE|Bela Vista             |62510000|0000000
CE|Betânia                |63623000|0000000
CE|Betânia                |62273000|0000000
CE|Betânia                |62382000|0000000
CE|Bitupitá               |62414000|0000000
CE|Bixopa                 |62935000|0000000
CE|Boa Água               |62953000|0000000
CE|Boa Esperança          |63770000|0000000
CE|Boa Viagem             |63870000|2302404
CE|Boa Vista              |63615000|0000000
CE|Boa Vista              |62687000|0000000
CE|Boa Vista do Caxitoré  |62623000|0000000
CE|Bonfim                 |62102000|0000000
CE|Bonfim                 |63601000|0000000
CE|Bonhu                  |62905000|0000000
CE|Bonito                 |62705000|0000000
CE|Borges                 |62835000|0000000
CE|Brejinho               |63176000|0000000
CE|Brejo Grande           |63192000|0000000
CE|Brejo Santo            |63260000|2302503
CE|Brotas                 |62533000|0000000
CE|Buritizal              |62227000|0000000
CE|Buritizinho          |63213000|0000000
CE|Cabreiro             |62806000|0000000
CE|Cachoeira            |62728000|0000000
CE|Cachoeira Grande     |62228000|0000000
CE|Caiçara              |62597000|0000000
CE|Caiçarinha           |63957000|0000000
CE|Caio Prado           |62742000|0000000
CE|Caioca               |62109000|0000000
CE|Caipu                |63538000|0000000
CE|Calabaça             |63545000|0000000
CE|Caldeirão            |63157000|0000000
CE|Califórnia           |63920000|0000000
CE|Câmara               |61753000|0000000
CE|Camboas              |62688000|0000000
CE|Camilos              |62132000|0000000
CE|Camocim              |62400000|2302602
CE|Campanário           |62468000|0000000
CE|Campestre            |62817000|0000000
CE|Campestre            |62879500|0000000
CE|Campos Sales         |63150000|2302701
CE|Canaan               |62692000|0000000
CE|Canafistula          |62638000|0000000
CE|Canafistula          |63583000|0000000
CE|Canaúna              |63342000|0000000
CE|Cangati              |63612000|0000000
CE|Cangati              |63624000|0000000
CE|Canindé              |62700000|2302800
CE|Canindezinho         |62203000|0000000
CE|Canindezinho         |63555000|0000000
CE|Canindezinho         |62995000|0000000
CE|Capistrano           |62748000|2302909
CE|Caponga              |62852000|0000000
CE|Caponga da Bernarda  |61754000|0000000
CE|Caracará             |62112000|0000000
CE|Caridade             |62730000|2303006
CE|Cariré               |62184000|2303105
CE|Caririaçu            |63220000|2303204
CE|Cariús               |63530000|2303303
CE|Cariutaba            |63189000|0000000
CE|Carmelópolis         |63151000|0000000
CE|Carnaubal            |62375000|2303402
CE|Carnaúbas            |63616000|0000000
CE|Carnaubinha          |63637000|0000000
CE|Carquejo             |62175000|0000000
CE|Carrapateiras        |63662000|0000000
CE|Caruataí             |62325000|0000000
CE|Carvalho             |63768000|0000000
CE|Carvoeiro            |62594000|0000000
CE|Cascavel             |62850000|2303501
CE|Castanhão            |62975000|0000000
CE|Catarina             |63595000|2303600
CE|Catolé               |63613000|0000000
CE|Catuana              |61680000|0000000
CE|Catunda              |62297000|2303659
CE|Caucaia              |00000000|2303709
CE|Caxitoré             |62614000|0000000
CE|Caxitoré             |62664000|0000000
CE|Cedro                |63400000|2303808
CE|Cedro                |62878500|2303808
CE|Cemoaba                    |62657000|0000000
CE|Chaval                     |62420000|2303907
CE|Choró                      |63950000|2303931
CE|Chorozinho                 |62875000|2303956
CE|Cipó dos Anjos             |63925000|0000000
CE|Cococi                     |63685000|0000000
CE|Codiá                      |63603000|0000000
CE|Coité                      |63212000|0000000
CE|Colina                     |62774000|0000000
CE|Conceição                  |62275000|0000000
CE|Coreaú                     |62160000|2304004
CE|Córrego dos Fernandes      |62807000|0000000
CE|Crateús                    |63700000|2304103
CE|Crato                      |00000000|2304202
CE|Crioulos                   |63465000|0000000
CE|Cristais                   |62859000|0000000
CE|Croatá                     |62269000|2304236
CE|Croatá                     |62676000|2304236
CE|Croatá                     |62390000|2304236
CE|Cruxati                    |62525000|0000000
CE|Cruz                       |62603000|2304251
CE|Cruz                       |62595000|2304251
CE|Cruz de Pedra              |63513000|0000000
CE|Cruzeirinho                |63440000|0000000
CE|Cuncas                     |63395000|0000000
CE|Curatis                    |63755000|0000000
CE|Curupira                   |62758000|0000000
CE|Custódio                   |63915000|0000000
CE|Daniel de Queirós          |63930000|0000000
CE|Delmiro Gouveia            |62258000|0000000
CE|Deputado Irapuan Pinheiro  |63645000|2304269
CE|Deserto                    |62502000|0000000
CE|Dom Leme                   |63191000|0000000
CE|Dom Maurício               |63945000|0000000
CE|Dom Quintino               |63137000|0000000
CE|Domingos da Costa          |63880000|0000000
CE|Donato                     |62259000|0000000
CE|Dourados                   |62884000|0000000
CE|Ebron                      |63567000|0000000
CE|Ema                        |62988000|0000000
CE|Ematuba                    |63641000|0000000
CE|Encantado                  |63810000|0000000
CE|Engenheiro João Tomé       |62233000|0000000
CE|Engenheiro José Lopes      |63602000|0000000
CE|Engenho Velho              |63383000|0000000
CE|Ererê                      |63470000|2304277
CE|Espacinha                  |62207000|0000000
CE|Esperança                  |62708000|0000000
CE|Espinho                    |62388000|0000000
CE|Eusébio                    |61760000|2304285
CE|Farias Brito               |63185000|2304301
CE|Fátima                     |62772000|0000000
CE|Feiticeiro                 |63477000|0000000
CE|Feitosa                    |63225000|0000000
CE|Felizardo                  |63345000|0000000
CE|Flamengo                   |63592000|0000000
CE|Flores                     |62903000|0000000
CE|Flores                     |62253000|0000000
CE|Forquilha                  |62115000|2304350
CE|Fortaleza                   |00000000|2304400
CE|Fortim                      |62815000|2304459
CE|Frecheirinha                |62340000|2304509
CE|Gado                        |62782000|0000000
CE|Gado dos Rodrigues          |62784000|0000000
CE|Gameleira de São Sebastião  |63208000|0000000
CE|Garças                      |62541000|0000000
CE|Gázea                       |62235000|0000000
CE|General Sampaio             |62738000|2304608
CE|General Tibúrcio            |62305000|0000000
CE|Genipapeiro                 |62754100|0000000
CE|Gereraú                     |61887000|0000000
CE|Giqui                       |62830000|0000000
CE|Girau                       |62807500|0000000
CE|Graça                       |62365000|2304657
CE|Granja                      |62430000|2304707
CE|Granjeiro                   |63230000|2304806
CE|Groairas                    |62190000|2304905
CE|Guaiúba                     |61890000|2304954
CE|Guajiru                     |62818000|0000000
CE|Guanacés                    |62856000|0000000
CE|Guaraciaba do Norte         |62380000|2305001
CE|Guaramiranga                |62766000|2305100
CE|Guararu                     |61690000|0000000
CE|Guassi                      |62794000|0000000
CE|Guassossé                   |63527000|0000000
CE|Guia                        |63885000|0000000
CE|Guriú                       |62408000|0000000
CE|Hidrolândia                 |62270000|2305209
CE|Holanda                     |63760000|0000000
CE|Horizonte                   |62880000|2305233
CE|Iapi                        |63643000|0000000
CE|Iara                        |63390000|0000000
CE|Ibaretama                   |63970000|2305266
CE|Ibiapaba                    |63725000|0000000
CE|Ibiapina                    |62360000|2305308
CE|Ibicatu                     |63558000|0000000
CE|Ibicuã                      |63608000|0000000
CE|Ibicuitaba                  |62813000|0000000
CE|Ibicuitinga                 |62955000|2305332
CE|Iborepi                     |63303000|0000000
CE|Ibuaçu                      |63890000|0000000
CE|Ibuguaçu                    |62448000|0000000
CE|Icapuí                      |62810000|2305357
CE|Icaraí                      |62545000|0000000
CE|Icó                         |63430000|2305407
CE|Icozinho                    |63445000|0000000
CE|Ideal                       |62754000|0000000
CE|Igaroi                      |63528000|0000000
CE|Iguatu                      |63500000|2305506
CE|Independência               |63640000|2305605
CE|Ingazeiras                  |63370000|0000000
CE|Inhamuns                    |63666000|0000000
CE|Inhuçu                      |62373000|0000000
CE|Inhuporanga                 |62734000|0000000
CE|Ipaporanga                  |62215000|2305654
CE|Ipaumirim                   |63340000|2305704
CE|Ipu                         |62250000|2305803
CE|Ipueiras                    |62230000|2305902
CE|Ipueiras dos Gomes      |62715000|0000000
CE|Iracema                 |62980000|2306009
CE|Irajá                   |62278000|0000000
CE|Irapuã                  |63728000|0000000
CE|Iratinga                |62608000|0000000
CE|Irauçuba                |62620000|2306108
CE|Isidoro                 |63563000|0000000
CE|Itacima                 |61893000|0000000
CE|Itaguá                  |63152000|0000000
CE|Itaiçaba                |62820000|2306207
CE|Itaipaba                |62872000|0000000
CE|Itaitinga               |61880000|2306256
CE|Itans                   |62746000|0000000
CE|Itapagé                 |62600000|2306306
CE|Itapebussu              |61980000|0000000
CE|Itapeim                 |62843000|0000000
CE|Itapipoca               |62500000|2306405
CE|Itapiúna                |62740000|2306504
CE|Itapó                   |61877000|0000000
CE|Itarema                 |62590000|2306553
CE|Itatira                 |62720000|2306603
CE|Jaburuna                |62354000|0000000
CE|Jacampari               |63895000|0000000
CE|Jacarecoara             |62855000|0000000
CE|Jacaúna                 |61752000|0000000
CE|Jaguarão                |62754050|0000000
CE|Jaguaretama             |63480000|2306702
CE|Jaguaribara             |63490000|2306801
CE|Jaguaribe               |63475000|2306900
CE|Jaguaruana              |62823000|2307007
CE|Jaibaras                |62107000|0000000
CE|Jamacaru                |63207000|0000000
CE|Jandrangoeira           |63642000|0000000
CE|Jardim                  |62684000|2307106
CE|Jardim                  |63290000|2307106
CE|Jardimirim              |63295000|0000000
CE|Jati                    |63275000|2307205
CE|Jijoca de Jericoacoara  |62598000|2307254
CE|João Cordeiro           |62158000|0000000
CE|Jordão                  |62108000|0000000
CE|José de Alencar         |63505000|0000000
CE|Juá                     |62628000|0000000
CE|Juá                     |63940000|0000000
CE|Juatama                 |63910000|0000000
CE|Juazeiro de Baixo       |62945000|0000000
CE|Juazeiro do Norte       |00000000|2307304
CE|Jubaia                  |61955000|0000000
CE|Jucás                   |63580000|2307403
CE|Jurema                  |00000000|0000000
CE|Justiniano Serpa        |61751000|0000000
CE|Lacerda                 |63820000|0000000
CE|Ladeira Grande          |61985000|0000000
CE|Lagoa de São José       |62754150|0000000
CE|Lagoa do Juvenal        |61975000|0000000
CE|Lagoa do Mato           |62725000|0000000
CE|Lagoa dos Crioulos      |63158000|0000000
CE|Lagoa Grande            |62902000|0000000
CE|Lagoa Grande            |62542000|0000000
CE|Lagoa Grande            |62942000|0000000
CE|Lagoinha              |62922000|0000000
CE|Lambedouro            |62308000|0000000
CE|Lameiro               |63134000|0000000
CE|Lavras da Mangabeira  |63300000|2307502
CE|Lima Campos           |63435000|0000000
CE|Limoeiro do Norte     |62930000|2307601
CE|Lisieux               |62293000|0000000
CE|Livramento            |62238000|0000000
CE|Logradouro            |62292000|0000000
CE|Macambira             |62225000|0000000
CE|Macaóca               |63865000|0000000
CE|Macaraú               |62285000|0000000
CE|Maceió                |62819000|0000000
CE|Madalena              |63860000|2307635
CE|Major Simplício       |62208000|0000000
CE|Majorlândia           |62809000|0000000
CE|Malhada Grande        |62294000|0000000
CE|Mangabeira            |63307000|0000000
CE|Manibu                |62814000|0000000
CE|Manituba              |63830000|0000000
CE|Mapuá                 |63476000|0000000
CE|Maracanaú             |00000000|2307650
CE|Maraguá               |63218000|0000000
CE|Maranguape            |61940000|2307700
CE|Mararupá              |63216000|0000000
CE|Marco                 |62560000|2307809
CE|Marinheiros           |62520000|0000000
CE|Marrecas              |63664000|0000000
CE|Marrocos              |63084000|0000000
CE|Marruás               |63665000|0000000
CE|Martinópole           |62450000|2307908
CE|Massapê               |62140000|2308005
CE|Mata Fresca           |62808000|0000000
CE|Matias                |62645000|0000000
CE|Matriz                |62232000|0000000
CE|Mauriti               |63210000|2308104
CE|Mel                   |63587000|0000000
CE|Meruoca               |62130000|2308203
CE|Messejana             |00000000|0000000
CE|Miguel Xavier         |63228000|0000000
CE|Milagres              |63250000|2308302
CE|Milhã                 |63635000|2308351
CE|Milton Belo           |62754200|0000000
CE|Mineirolândia         |63632000|0000000
CE|Miragem               |63223000|0000000
CE|Miraíma               |62530000|2308377
CE|Mirambé               |61685000|0000000
CE|Missão Nova           |63203000|0000000
CE|Missão Velha          |63200000|2308401
CE|Missi                 |62625000|0000000
CE|Moitas                |62543000|0000000
CE|Mombaça               |63610000|2308500
CE|Mondubim              |00000000|0000000
CE|Monguba               |61860000|0000000
CE|Monsenhor Tabosa      |63780000|2308609
CE|Monte Alegre          |62703000|0000000
CE|Monte Alegre          |63389000|0000000
CE|Monte Castelo         |63154100|0000000
CE|Monte Grave           |63639000|0000000
CE|Monte Sion                   |63695000|0000000
CE|Montenebo                    |63715000|0000000
CE|Morada Nova                  |62940000|2308708
CE|Moraújo                      |62480000|2308807
CE|Morrinhos                    |62550000|2308906
CE|Morrinhos Novos              |62386000|0000000
CE|Morro Branco                 |62727000|0000000
CE|Mucambo                      |62170000|2309003
CE|Mulungu                      |63606000|2309102
CE|Mulungu                      |62764000|2309102
CE|Mumbaba                      |62142000|0000000
CE|Mundau                       |62695000|0000000
CE|Muribeca                     |62296000|0000000
CE|Muriti                       |00000000|0000000
CE|Mutambeiras                  |62154000|0000000
CE|Naraniu                      |63550000|0000000
CE|Nascente                     |62544000|0000000
CE|Nenenlândia                  |63814000|0000000
CE|Nossa Senhora do Livramento  |63790000|0000000
CE|Nova Betânia                 |62205000|0000000
CE|Nova Betânia                 |63187000|0000000
CE|Nova Fátima                  |62245000|0000000
CE|Nova Floresta                |63478000|0000000
CE|Nova Olinda                  |63165000|2309201
CE|Nova Russas                  |62200000|2309300
CE|Nova Vida                    |63980000|0000000
CE|Novo Assis                   |63690000|0000000
CE|Novo Oriente                 |63740000|2309409
CE|Novo Oriente                 |62759100|2309409
CE|Ocara                        |62755000|2309458
CE|Oiticica                     |63730000|0000000
CE|Oiticica                     |63984000|0000000
CE|OlhoD'Água                   |62113000|0000000
CE|OlhoD'Água da Bica           |62964000|0000000
CE|Oliveiras                    |63775000|0000000
CE|Orós                         |63520000|2309508
CE|Pacajus                      |62870000|2309607
CE|Pacatuba                     |61800000|2309706
CE|Pacoti                       |62770000|2309805
CE|Pacujá                       |62180000|2309904
CE|Padre Cícero                 |63082000|0000000
CE|Padre Linhares               |62146000|0000000
CE|Padre Vieira                 |62315000|0000000
CE|Pajeú                        |63172000|0000000
CE|Palestina                    |63215000|0000000
CE|Palestina                    |63525000|0000000
CE|Palestina do Norte           |62134000|0000000
CE|Palhano                      |62910000|2310001
CE|Palmácia                     |62780000|2310100
CE|Palmatória                   |62744000|0000000
CE|Panacuí                      |62565000|0000000
CE|Paracuá                      |62465000|0000000
CE|Paracuru                     |62680000|2310209
CE|Paraipaba                    |62685000|2310258
CE|Parajuru                     |62848000|0000000
CE|Parambu                      |63680000|2310308
CE|Paramoti                     |62736000|2310407
CE|Parangaba                    |00000000|0000000
CE|Parapuí                      |62156000|0000000
CE|Parazinho            |62437000|0000000
CE|Paripueira           |62844000|0000000
CE|Passagem             |62425000|0000000
CE|Passagem             |63835000|0000000
CE|Passagem Funda       |62754350|0000000
CE|Pasta                |63622000|0000000
CE|Patacas              |61756000|0000000
CE|Patos dos Liberatos  |62879000|0000000
CE|Patriarca            |62104000|0000000
CE|Pavuna               |61870000|0000000
CE|Pecém                |62674000|0000000
CE|Pedra Branca         |63630000|2310506
CE|Pedra Branca         |62754250|2310506
CE|Pedras               |62943000|0000000
CE|Pedrinhas            |63455000|0000000
CE|Peixe                |62907000|0000000
CE|Peixe Gordo          |62962000|0000000
CE|Penaforte            |63280000|2310605
CE|Pentecoste           |62640000|2310704
CE|Pereiro              |63460000|2310803
CE|Pernambuquinho       |62768000|0000000
CE|Pessoa Anta          |62445000|0000000
CE|Pindoguaba           |62330000|0000000
CE|Pindoretama          |62860000|2310852
CE|Pio X                |63315000|0000000
CE|Piquet Carneiro      |63605000|2310902
CE|Pirabibu             |63802000|0000000
CE|Pirangi              |63982000|0000000
CE|Pires Ferreira       |62255000|2310951
CE|Pitombeira           |62606000|0000000
CE|Pitombeiras          |62858000|0000000
CE|Plácido Martins      |62754300|0000000
CE|Poço                 |63268000|0000000
CE|Poço Comprido        |62546000|0000000
CE|Poço Comprido        |63495000|0000000
CE|Poço Grande          |63588000|0000000
CE|Podimirim            |63255000|0000000
CE|Ponta da Serra       |63138000|0000000
CE|Poranga              |62220000|2311009
CE|Porfirio Sampaio     |62648000|0000000
CE|Porteiras            |63270000|2311108
CE|Potengi              |63160000|2311207
CE|Poti                 |63720000|0000000
CE|Potiretama           |62990000|2311231
CE|Prata                |62575000|0000000
CE|Prudente de Morais   |63815000|0000000
CE|Quatiguaba           |62310000|0000000
CE|Queimadas            |62886000|0000000
CE|Quimami              |63205000|0000000
CE|Quincoé              |63562000|0000000
CE|Quincuncá            |63188000|0000000
CE|Quitaiús             |63308000|0000000
CE|Quiterianópolis      |63650000|2311264
CE|Quixadá              |63900000|2311306
CE|Quixariú             |63154000|0000000
CE|Quixelô              |63515000|2311355
CE|Quixeramobim         |63800000|2311405
CE|Quixeré              |62920000|2311504
CE|Quixoá               |63502000|0000000
CE|Raimundo Martins             |62295000|0000000
CE|Redenção                     |62790000|2311603
CE|Reriutaba                    |62260000|2311702
CE|Riachão do Banabuiú          |63631000|0000000
CE|Riacho Grande                |63178000|0000000
CE|Riacho Verde                 |63548000|0000000
CE|Riacho Vermelho              |63511000|0000000
CE|Rinaré                       |63965000|0000000
CE|Roldão                       |62948000|0000000
CE|Russas                       |62900000|2311801
CE|Sabiaguaba                   |62547000|0000000
CE|Saboeiro                     |63590000|2311900
CE|Sacramento                   |62218000|0000000
CE|Salão                        |62475000|0000000
CE|Salitre                      |63155000|2311959
CE|Sambaíba                     |62433000|0000000
CE|Santa Ana                    |62776000|0000000
CE|Santa Fé                     |63136000|0000000
CE|Santa Felícia                |63565000|0000000
CE|Santa Luzia                  |62652000|0000000
CE|Santa Quitéria               |62280000|2312205
CE|Santa Tereza                 |62808500|0000000
CE|Santa Tereza                 |63668000|0000000
CE|Santana                      |63735000|0000000
CE|Santana do Acaraú            |62150000|2312007
CE|Santana do Cariri            |63190000|2312106
CE|Santarém                     |63523000|0000000
CE|Santo Antônio                |63705000|0000000
CE|Santo Antônio                |62213000|0000000
CE|Santo Antônio                |63561000|0000000
CE|Santo Antônio                |63385000|0000000
CE|Santo Antônio da Pindoba     |62363000|0000000
CE|Santo Antônio dos Fernandes  |62138000|0000000
CE|São Bartolomeu               |63533000|0000000
CE|São Benedito                 |62370000|2312304
CE|São Domingos                 |62732000|0000000
CE|São Felipe                   |63265000|0000000
CE|São Francisco                |62136000|0000000
CE|São Francisco                |63652000|0000000
CE|São Gerardo                  |62792000|0000000
CE|São Gonçalo do Amarante      |62670000|2312403
CE|São Gonçalo do Umari         |63617000|0000000
CE|São João de Deus             |62908000|0000000
CE|São João do Jaguaribe        |62965000|2312502
CE|São João dos Queiróz         |63948000|0000000
CE|São Joaquim                  |62663000|0000000
CE|São Joaquim do Salgado       |63604000|0000000
CE|São José                     |62913000|0000000
CE|São José                     |62825000|0000000
CE|São José                     |63245000|0000000
CE|São José                     |62984000|0000000
CE|São José das Lontras         |62248000|0000000
CE|São José de Solonópole       |63621000|0000000
CE|São José do Torto            |62105000|0000000
CE|São Luís do Curu             |62665000|2312601
CE|São Miguel                   |63219000|0000000
CE|São Miguel                   |63825000|0000000
CE|São Paulo                    |63568000|0000000
CE|São Pedro                    |62209000|0000000
CE|São Pedro                  |63585000|0000000
CE|São Romão                  |63198000|0000000
CE|São Sebastião              |63535000|0000000
CE|São Vicente                |63618000|0000000
CE|São Vicente                |63450000|0000000
CE|Sapo                       |62152000|0000000
CE|Sapupara                   |61950000|0000000
CE|Sebastião de Abreu         |62642000|0000000
CE|Senador Carlos Jereissati  |61865000|0000000
CE|Senador Pompeu             |63600000|2312700
CE|Senador Sá                 |62470000|2312809
CE|Sereno de Cima             |62759200|0000000
CE|Serra do Félix             |62846000|0000000
CE|Serragem                   |62759300|0000000
CE|Serrota                    |62477000|0000000
CE|Serrota                    |63392000|0000000
CE|Serrote                    |63507000|0000000
CE|Serrote                    |62678000|0000000
CE|Sitiá                      |63962000|0000000
CE|Sítios Novos               |61695000|0000000
CE|Siupê                      |62675000|0000000
CE|Sobral                     |00000000|2312908
CE|Soledade                   |62607000|0000000
CE|Solonópole                 |63620000|2313005
CE|Suassurana                 |63510000|0000000
CE|Sucatinga                  |62842000|0000000
CE|Sucesso                    |63765000|0000000
CE|Sussuanha                  |62385000|0000000
CE|Tabainha                   |62335000|0000000
CE|Taboleiro                  |63573000|0000000
CE|Tabuleiro do Norte         |62960000|2313104
CE|Taíba                      |62677000|0000000
CE|Tamboril                   |63750000|2313203
CE|Tanques                    |61960000|0000000
CE|Tapera                     |61758000|0000000
CE|Taperuaba                  |62106000|0000000
CE|Tapuiara                   |63935000|0000000
CE|Targinos                   |62713000|0000000
CE|Tarrafas                   |63145000|2313252
CE|Tauá                       |63660000|2313302
CE|Tejuçuoca                  |62610000|2313351
CE|Tianguá                    |62320000|2313401
CE|Timbaúba dos Marinheiros   |62878000|0000000
CE|Timonha                    |62440000|0000000
CE|Tipi                       |63365000|0000000
CE|Tomé                       |62924000|0000000
CE|Trairi                     |62690000|2313500
CE|Trapiá                     |62110000|0000000
CE|Trapiá                     |62283000|0000000
CE|Triângulo                  |62877000|0000000
CE|Trici                      |63663000|0000000
CE|Tróia                      |63633000|0000000
CE|Trussu                     |63564000|0000000
CE|Tucunduba                  |61688000|0000000
CE|Tucuns                     |63710000|0000000
CE|Tuína                      |62141000|0000000
CE|Tururu                     |62655000|2313559
CE|Ubajara                    |62350000|2313609
CE|Ubaúna                     |62168000|0000000
CE|Ubiraçu              |62710000|0000000
CE|Uiraponga            |62950000|0000000
CE|Umari                |63310000|2313708
CE|Umarituba            |62672000|0000000
CE|Umburanas            |63214000|0000000
CE|Umirim               |62660000|2313757
CE|Uruburetama          |62650000|2313807
CE|Uruoca               |62460000|2313906
CE|Uruquê               |63805000|0000000
CE|Varjota              |62265000|2313955
CE|Várzea               |63405000|0000000
CE|Várzea Alegre        |63540000|2314003
CE|Várzea da Volta      |62485000|0000000
CE|Várzea do Gilo       |62254000|0000000
CE|Vazantes             |62752000|0000000
CE|Ventura              |62125000|0000000
CE|Vertentes do Lagedo  |61970000|0000000
CE|Viçosa               |62819500|0000000
CE|Viçosa do Ceará      |62300000|2314102
CE|Vila Soares          |62635000|0000000
DF|Brasília             |00000000|5300108
DF|Brazlândia           |00000000|5300108050
DF|Candangolândia       |00000000|5300108051
DF|Ceilândia            |00000000|5300108051
